targetTime,actualGeneration
2024-01-14T20:30:00Z,12721.0
2024-01-14T21:00:00Z,13213.0
2024-01-14T21:30:00Z,13730.0
2024-01-14T22:00:00Z,13731.0
2024-01-14T22:30:00Z,13557.0
2024-01-14T23:00:00Z,13352.0
2024-01-14T23:30:00Z,13539.0
2024-01-15T00:00:00Z,13826.0
2024-01-15T00:30:00Z,13991.0
2024-01-15T01:00:00Z,14343.0
2024-01-15T01:30:00Z,14482.0
2024-01-15T02:00:00Z,14431.0
2024-01-15T02:30:00Z,14426.0
2024-01-15T03:00:00Z,14534.0
2024-01-15T03:30:00Z,14706.0
2024-01-15T04:00:00Z,14840.0
2024-01-15T04:30:00Z,14933.0
2024-01-15T05:00:00Z,15001.0
2024-01-15T05:30:00Z,15070.0
2024-01-15T06:00:00Z,15022.0
2024-01-15T06:30:00Z,14830.0
2024-01-15T07:00:00Z,14963.0
2024-01-15T07:30:00Z,14855.0
2024-01-15T08:00:00Z,14492.0
2024-01-15T08:30:00Z,14264.0
2024-01-15T09:00:00Z,14233.0
2024-01-15T09:30:00Z,14149.0
2024-01-15T10:00:00Z,14315.0
2024-01-15T10:30:00Z,14149.0
2024-01-15T11:00:00Z,13835.0
2024-01-15T11:30:00Z,13709.0
2024-01-15T12:00:00Z,13529.0
2024-01-15T12:30:00Z,13614.0
2024-01-15T13:00:00Z,13859.0
2024-01-15T13:30:00Z,13948.0
2024-01-15T14:00:00Z,13810.0
2024-01-15T14:30:00Z,13770.0
2024-01-15T15:00:00Z,13547.0
2024-01-15T15:30:00Z,13411.0
2024-01-15T16:00:00Z,12939.0
2024-01-15T16:30:00Z,12747.0
2024-01-15T17:00:00Z,12466.0
2024-01-15T17:30:00Z,12140.0
2024-01-15T18:00:00Z,11775.0
2024-01-15T18:30:00Z,11448.0
2024-01-15T19:00:00Z,10834.0
2024-01-15T19:30:00Z,10449.0
2024-01-15T20:00:00Z,10046.0
2024-01-15T20:30:00Z,9952.0
2024-01-15T21:00:00Z,9569.0
2024-01-15T21:30:00Z,9174.0
2024-01-15T22:00:00Z,8995.0
2024-01-15T22:30:00Z,8472.0
2024-01-15T23:00:00Z,8022.0
2024-01-15T23:30:00Z,8095.0
2024-01-16T00:00:00Z,7892.0
2024-01-16T00:30:00Z,7692.0
2024-01-16T01:00:00Z,7270.0
2024-01-16T01:30:00Z,6954.0
2024-01-16T02:00:00Z,6228.0
2024-01-16T02:30:00Z,5806.0
2024-01-16T03:00:00Z,5814.0
2024-01-16T03:30:00Z,6035.0
2024-01-16T04:00:00Z,5985.0
2024-01-16T04:30:00Z,6136.0
2024-01-16T05:00:00Z,6396.0
2024-01-16T05:30:00Z,6833.0
2024-01-16T06:00:00Z,7111.0
2024-01-16T06:30:00Z,7196.0
2024-01-16T07:00:00Z,7343.0
2024-01-16T07:30:00Z,7266.0
2024-01-16T08:00:00Z,7387.0
2024-01-16T08:30:00Z,7590.0
2024-01-16T09:00:00Z,7756.0
2024-01-16T09:30:00Z,7674.0
2024-01-16T10:00:00Z,7412.0
2024-01-16T10:30:00Z,7345.0
2024-01-16T11:00:00Z,7463.0
2024-01-16T11:30:00Z,7449.0
2024-01-16T12:00:00Z,7607.0
2024-01-16T12:30:00Z,8122.0
2024-01-16T13:00:00Z,8206.0
2024-01-16T13:30:00Z,8607.0
2024-01-16T14:00:00Z,9047.0
2024-01-16T14:30:00Z,9180.0
2024-01-16T15:00:00Z,9603.0
2024-01-16T15:30:00Z,10811.0
2024-01-16T16:00:00Z,11451.0
2024-01-16T16:30:00Z,12264.0
2024-01-16T17:00:00Z,12975.0
2024-01-16T17:30:00Z,12989.0
2024-01-16T18:00:00Z,12865.0
2024-01-16T18:30:00Z,13113.0
2024-01-16T19:00:00Z,13083.0
2024-01-16T19:30:00Z,13106.0
2024-01-16T20:00:00Z,12888.0
2024-01-16T20:30:00Z,12532.0
2024-01-16T21:00:00Z,12042.0
2024-01-16T21:30:00Z,11991.0
2024-01-16T22:00:00Z,11610.0
2024-01-16T22:30:00Z,11742.0
2024-01-16T23:00:00Z,11622.0
2024-01-16T23:30:00Z,11388.0
2024-01-17T00:00:00Z,10883.0
2024-01-17T00:30:00Z,10311.0
2024-01-17T01:00:00Z,9675.0
2024-01-17T01:30:00Z,9320.0
2024-01-17T02:00:00Z,9013.0
2024-01-17T02:30:00Z,8423.0
2024-01-17T03:00:00Z,7573.0
2024-01-17T03:30:00Z,6710.0
2024-01-17T04:00:00Z,6030.0
2024-01-17T04:30:00Z,5342.0
2024-01-17T05:00:00Z,4695.0
2024-01-17T05:30:00Z,4464.0
2024-01-17T06:00:00Z,4682.0
2024-01-17T06:30:00Z,4880.0
2024-01-17T07:00:00Z,4822.0
2024-01-17T07:30:00Z,4252.0
2024-01-17T08:00:00Z,3988.0
2024-01-17T08:30:00Z,4340.0
2024-01-17T09:00:00Z,4434.0
2024-01-17T09:30:00Z,4345.0
2024-01-17T10:00:00Z,3902.0
2024-01-17T10:30:00Z,3670.0
2024-01-17T11:00:00Z,3455.0
2024-01-17T11:30:00Z,3179.0
2024-01-17T12:00:00Z,3238.0
2024-01-17T12:30:00Z,3501.0
2024-01-17T13:00:00Z,3785.0
2024-01-17T13:30:00Z,4254.0
2024-01-17T14:00:00Z,4774.0
2024-01-17T14:30:00Z,5335.0
2024-01-17T15:00:00Z,5291.0
2024-01-17T15:30:00Z,5163.0
2024-01-17T16:00:00Z,6190.0
2024-01-17T16:30:00Z,6709.0
2024-01-17T17:00:00Z,6631.0
2024-01-17T17:30:00Z,6928.0
2024-01-17T18:00:00Z,7004.0
2024-01-17T18:30:00Z,7410.0
2024-01-17T19:00:00Z,8038.0
2024-01-17T19:30:00Z,8125.0
2024-01-17T20:00:00Z,7850.0
2024-01-17T20:30:00Z,7925.0
2024-01-17T21:00:00Z,7426.0
2024-01-17T21:30:00Z,6999.0
2024-01-17T22:00:00Z,6788.0
2024-01-17T22:30:00Z,6796.0
2024-01-17T23:00:00Z,6841.0
2024-01-17T23:30:00Z,6763.0
2024-01-18T00:00:00Z,6431.0
2024-01-18T00:30:00Z,6939.0
2024-01-18T01:00:00Z,7447.0
2024-01-18T01:30:00Z,8491.0
2024-01-18T02:00:00Z,8596.0
2024-01-18T02:30:00Z,8096.0
2024-01-18T03:00:00Z,7493.0
2024-01-18T03:30:00Z,7360.0
2024-01-18T04:00:00Z,6878.0
2024-01-18T04:30:00Z,6044.0
2024-01-18T05:00:00Z,6362.0
2024-01-18T05:30:00Z,6862.0
2024-01-18T06:00:00Z,6990.0
2024-01-18T06:30:00Z,7283.0
2024-01-18T07:00:00Z,6833.0
2024-01-18T07:30:00Z,6751.0
2024-01-18T08:00:00Z,6392.0
2024-01-18T08:30:00Z,5897.0
2024-01-18T09:00:00Z,5659.0
2024-01-18T09:30:00Z,6231.0
2024-01-18T10:00:00Z,6206.0
2024-01-18T10:30:00Z,6333.0
2024-01-18T11:00:00Z,6688.0
2024-01-18T11:30:00Z,7308.0
2024-01-18T12:00:00Z,7551.0
2024-01-18T12:30:00Z,7180.0
2024-01-18T13:00:00Z,7082.0
2024-01-18T13:30:00Z,7754.0
2024-01-18T14:00:00Z,8365.0
2024-01-18T14:30:00Z,9019.0
2024-01-18T15:00:00Z,9515.0
2024-01-18T15:30:00Z,10164.0
2024-01-18T16:00:00Z,10356.0
2024-01-18T16:30:00Z,10765.0
2024-01-18T17:00:00Z,11322.0
2024-01-18T17:30:00Z,11727.0
2024-01-18T18:00:00Z,12362.0
2024-01-18T18:30:00Z,12443.0
2024-01-18T19:00:00Z,11678.0
2024-01-18T19:30:00Z,11307.0
2024-01-18T20:00:00Z,11339.0
2024-01-18T20:30:00Z,11344.0
2024-01-18T21:00:00Z,11629.0
2024-01-18T21:30:00Z,11648.0
2024-01-18T22:00:00Z,11561.0
2024-01-18T22:30:00Z,11843.0
2024-01-18T23:00:00Z,11716.0
2024-01-18T23:30:00Z,11747.0
2024-01-19T00:00:00Z,11417.0
2024-01-19T00:30:00Z,11180.0
2024-01-19T01:00:00Z,11590.0
2024-01-19T01:30:00Z,11553.0
2024-01-19T02:00:00Z,11509.0
2024-01-19T02:30:00Z,11728.0
2024-01-19T03:00:00Z,11687.0
2024-01-19T03:30:00Z,11751.0
2024-01-19T04:00:00Z,11337.0
2024-01-19T04:30:00Z,11244.0
2024-01-19T05:00:00Z,11423.0
2024-01-19T05:30:00Z,11661.0
2024-01-19T06:00:00Z,11717.0
2024-01-19T06:30:00Z,11405.0
2024-01-19T07:00:00Z,11668.0
2024-01-19T07:30:00Z,12110.0
2024-01-19T08:00:00Z,12606.0
2024-01-19T08:30:00Z,12537.0
2024-01-19T09:00:00Z,12592.0
2024-01-19T09:30:00Z,12724.0
2024-01-19T10:00:00Z,12700.0
2024-01-19T10:30:00Z,13097.0
2024-01-19T11:00:00Z,13342.0
2024-01-19T11:30:00Z,13641.0
2024-01-19T12:00:00Z,13807.0
2024-01-19T12:30:00Z,13958.0
2024-01-19T13:00:00Z,11807.0
2024-01-19T13:30:00Z,14349.0
2024-01-19T14:00:00Z,14160.0
2024-01-19T14:30:00Z,13847.0
2024-01-19T15:00:00Z,13844.0
